x,y,z,T,solid
0.070710978,0.079533244,0.0001,316.05471,1.0
0.070710978,0.079957351,0.0001,316.05469,1.0
0.070710978,0.080381457,0.0001,316.05466,1.0
0.070710978,0.080805564,0.0001,316.05462,1.0
0.070710978,0.081229671,0.0001,316.05457,1.0
0.071136572,0.079533244,0.0001,316.05471,1.0
0.071136572,0.079957351,0.0001,316.05469,1.0
0.071136572,0.080381457,0.0001,316.05466,1.0
0.071136572,0.080805564,0.0001,316.05461,1.0
0.071136572,0.081229671,0.0001,316.05456,1.0
0.071136572,0.081653777,0.0001,316.0545,1.0
0.071136572,0.082077884,0.0001,316.05442,1.0
0.071136572,0.08250199,0.0001,316.05434,1.0
0.071136572,0.082926097,0.0001,316.05424,1.0
0.071136572,0.083350204,0.0001,316.05413,1.0
0.071136572,0.08377431,0.0001,316.054,1.0
0.071136572,0.084198417,0.0001,316.05385,1.0
0.071136572,0.084622524,0.0001,316.05366,1.0
0.071136572,0.08504663,0.0001,316.05335,1.0
0.071136572,0.085470737,0.0001,316.05251,1.0
0.071136572,0.085894843,0.0001,315.97924,0.0
0.071136572,0.08631895,0.0001,315.97745,0.0
0.071136572,0.086743057,0.0001,315.97731,0.0
0.071562166,0.079533244,0.0001,316.0547,1.0
0.071562166,0.079957351,0.0001,316.05468,1.0
0.071562166,0.080381457,0.0001,316.05464,1.0
0.071562166,0.080805564,0.0001,316.05459,1.0
0.071562166,0.081229671,0.0001,316.05453,1.0
0.071562166,0.081653777,0.0001,316.05446,1.0
0.071562166,0.082077884,0.0001,316.05438,1.0
0.071562166,0.08250199,0.0001,316.05429,1.0
0.071562166,0.082926097,0.0001,316.05418,1.0
0.071562166,0.083350204,0.0001,316.05406,1.0
0.071562166,0.08377431,0.0001,316.05392,1.0
0.071562166,0.084198417,0.0001,316.05375,1.0
0.071562166,0.084622524,0.0001,316.05353,1.0
0.071562166,0.08504663,0.0001,316.05303,1.0
0.071562166,0.085470737,0.0001,315.98265,0.0
0.071562166,0.085894843,0.0001,315.97874,0.0
0.071562166,0.08631895,0.0001,316.01291,0.0
0.071562166,0.086743057,0.0001,316.01322,0.0
0.071987759,0.079533244,0.0001,316.05468,1.0
0.071987759,0.079957351,0.0001,316.05465,1.0
0.071987759,0.080381457,0.0001,316.05461,1.0
0.071987759,0.080805564,0.0001,316.05456,1.0
0.071987759,0.081229671,0.0001,316.05449,1.0
0.071987759,0.081653777,0.0001,316.05441,1.0
0.071987759,0.082077884,0.0001,316.05432,1.0
0.071987759,0.08250199,0.0001,316.05422,1.0
0.071987759,0.082926097,0.0001,316.0541,1.0
0.071987759,0.083350204,0.0001,316.05397,1.0
0.071987759,0.08377431,0.0001,316.05381,1.0
0.071987759,0.084198417,0.0001,316.05362,1.0
0.071987759,0.084622524,0.0001,316.05339,1.0
0.071987759,0.08504663,0.0001,316.05299,1.0
0.071987759,0.085470737,0.0001,316.014,0.0
0.071987759,0.085894843,0.0001,316.0134,0.0
0.071987759,0.08631895,0.0001,316.0136,0.0
0.071987759,0.086743057,0.0001,316.01318,0.0
0.072413353,0.079533244,0.0001,316.05464,1.0
0.072413353,0.079957351,0.0001,316.05461,1.0
0.072413353,0.080381457,0.0001,316.05456,1.0
0.072413353,0.080805564,0.0001,316.0545,1.0
0.072413353,0.081229671,0.0001,316.05443,1.0
0.072413353,0.081653777,0.0001,316.05435,1.0
0.072413353,0.082077884,0.0001,316.05424,1.0
0.072413353,0.08250199,0.0001,316.05413,1.0
0.072413353,0.082926097,0.0001,316.05399,1.0
0.072413353,0.083350204,0.0001,316.05383,1.0
0.072413353,0.08377431,0.0001,316.05365,1.0
0.072413353,0.084198417,0.0001,316.05342,1.0
0.072413353,0.084622524,0.0001,316.05307,1.0
0.072413353,0.08504663,0.0001,316.01472,0.0
0.072413353,0.085470737,0.0001,316.01382,0.0
0.072413353,0.085894843,0.0001,316.01322,0.0
